id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
29,ASIAN Men's Thunder-01 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Men's & Boy's,1,7,https://m.media-amazon.com/images/I/819Hi4--WzL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Thunder-01-Sneaker-Changing-Lightwight/dp/B0BWRL3C2D/ref=sr_1_49?qid=1679148619&s=shoes&sr=1-49,3.3,9,?849,"?1,199"
30,"BATA Mens Floatz Mens Clog Clogs, (8712733)",1,7,https://m.media-amazon.com/images/I/61wrPmeKwBL._AC_UL320_.jpg,https://www.amazon.in/BATA-FLOATZ-Mens-Clogs-8719733/dp/B09X152ZY5/ref=sr_1_50?qid=1679148619&s=shoes&sr=1-50,3.9,213,?701,"?1,299"
31,Sparx Men's Sm-620 Sneaker,1,7,https://m.media-amazon.com/images/I/61+q7c44YlL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Mens-Black-Sneakers-SC0620G_BKRD0009/dp/B083NYNTNK/ref=sr_1_51?qid=1679148619&s=shoes&sr=1-51,4.1,"3,136",?975,"?1,349"
32,saviours of sneakers Crease Preventers for protection against creases on sneakers (Pack of 1),1,7,https://m.media-amazon.com/images/I/61Z29A+4jfL._AC_UL320_.jpg,https://www.amazon.in/saviours-sneakers-Preventers-protection-against/dp/B0B362TN2G/ref=sr_1_53?qid=1679148619&s=shoes&sr=1-53,3.8,122,?350,?999
33,Centrino Men's 3392 Casual Shoes,1,7,https://m.media-amazon.com/images/I/814caCGb7nL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Mens-3392-Loafers-8-3392-01/dp/B07QPZR1JH/ref=sr_1_55?qid=1679148619&s=shoes&sr=1-55,3.8,"3,982",?799,"?2,199"
34,Liberty womens Lpmxt-800 Clog,1,7,https://m.media-amazon.com/images/I/51ZyC-iEGZL._AC_UL320_.jpg,https://www.amazon.in/Liberty-LPMXT-800-Casual-Clogs-8-60960031/dp/B096KSLV58/ref=sr_1_56?qid=1679148619&s=shoes&sr=1-56,3.6,"1,104",,?922
35,Liberty Gliders OLGREEN Mens Non-Leather Casual Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81enUqS449L._AC_UL320_.jpg,https://www.amazon.in/Gliders-Liberty-Black-Loafers-Mocassins/dp/B018770GJC/ref=sr_1_54?qid=1679148621&s=shoes&sr=1-54,4,"8,401",,?499
36,"Kraasa Classic Casual Lace Up Sneaker,Casual Shoe for Men",1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71bAepMLVVL._AC_UL320_.jpg,https://www.amazon.in/Kraasa-Classic-Casual-Sneaker-Black/dp/B0B4JZQ9MN/ref=sr_1_55?qid=1679148621&s=shoes&sr=1-55,3.5,783,?599,?999
37,URJO Mens Men_camo Clogs,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71jtrSbcASL._AC_UL320_.jpg,https://www.amazon.in/Urjo-Carbon-Clogs-10-Men_CAMO/dp/B08HMJWB9D/ref=sr_1_56?qid=1679148621&s=shoes&sr=1-56,4,"7,399",?698.07,"?1,799"
38,US Polo Association Mens Abor Sneakers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71m+EGqdJ0L._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-Sneaker-2FD21134A01/dp/B08VWHXJM1/ref=sr_1_57?qid=1679148621&s=shoes&sr=1-57,3.6,"2,672","?1,885","?2,999"
39,US Polo Association Mens Aaron 2.0 Drivers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61O38I-m9vL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-Loafer-9-2FD20326G/dp/B08PD6HTKX/ref=sr_1_58?qid=1679148621&s=shoes&sr=1-58,3.8,"1,124","?1,599","?3,199"
40,Sparx Men's Sc0214g Loafers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81BBBgUiluL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-214-Green-Royal-Sneakers/dp/B016BZLCYK/ref=sr_1_59?qid=1679148621&s=shoes&sr=1-59,4,"13,378",?664,?949
41,crocs Unisex-Adult Classic Clogs,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71u9fO5q4iL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Unisex-Classic-Clog-Women/dp/B01EY0MXRY/ref=sr_1_60?qid=1679148621&s=shoes&sr=1-60,4.1,"6,924","?1,497","?3,995"
42,crocs mens Bogota Clog,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xF3I3Df9L._AC_UL320_.jpg,https://www.amazon.in/crocs-Mens-Bogota-Chocolate-207430-200/dp/B0963ZXCT7/ref=sr_1_61?qid=1679148621&s=shoes&sr=1-61,3.9,"1,483","?2,422","?3,995"
43,Red Tape Men Black Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51+E3G7wevL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Mens-White-Sneaker-8/dp/B0BNN3ZTCC/ref=sr_1_62?qid=1679148621&s=shoes&sr=1-62,3.7,42,"?1,399","?5,599"
44,US Polo Association Men's Carlin 3.0 Sneaker Slip ON,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71AxvSPN6IL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-Carlin-2FD21126G07/dp/B08VWNB89C/ref=sr_1_63?qid=1679148621&s=shoes&sr=1-63,4,389,"?1,399","?2,799"
45,Nivia Carbonite Football Stud for Mens,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71TVwd0l4BL._AC_UL320_.jpg,https://www.amazon.in/NIVIA-Carbonite-Football-Black-Numeric_8/dp/B09BB1Q28S/ref=sr_1_64?qid=1679148621&s=shoes&sr=1-64,4.1,"1,508",?789,?849
46,"Red Tape Men's Ankle Length Boots- Elevated Look, Utmost Comfort, Firm Grip, Slip-Resistance, Shock Absorption, Better Tra...",1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71vgrQNoGZL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Ankle-Length-Boots-9/dp/B0B1MC2LK9/ref=sr_1_65?qid=1679148621&s=shoes&sr=1-65,4,738,"?1,890","?7,599"
47,BATA Adults-Men Scale Formal Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81UB-O+AN7L._AC_UL320_.jpg,https://www.amazon.in/BATA-Adults-Men-Formal-Shoes-8-8516904/dp/B07Q2JZF42/ref=sr_1_66?qid=1679148621&s=shoes&sr=1-66,3.9,"1,183",?707,"?1,199"
48,Puma Unisex-Adult Duke Walking Shoe,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81+FEPFrM6L._AC_UL320_.jpg,https://www.amazon.in/Puma-Unisex-Adult-Mist-Dark-Sneaker-38889204/dp/B0BGSTJHKQ/ref=sr_1_68?qid=1679148621&s=shoes&sr=1-68,4.1,163,"?1,679","?3,999"
49,KazarMax Grey Neon Light Weight Clogs/Sandals for Men (Made in India),1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51fYig8OYIL._AC_UL320_.jpg,https://www.amazon.in/KazarMax-Light-Weight-Clogs-Sandals/dp/B08F9V5KQ8/ref=sr_1_73?qid=1679148621&s=shoes&sr=1-73,3.7,"2,288",?929,"?1,999"
50,Robbie jones Casual Sneakers Black Outdoor Shoes for Boys and Men,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51TL7-Alz5L._AC_UL320_.jpg,https://www.amazon.in/Robbie-jones-Casual-Sneakers-Outdoor/dp/B0BP2FKGY1/ref=sr_1_74?qid=1679148621&s=shoes&sr=1-74,3,22,?499,"?1,599"
51,Red Tape Sports Shoes for Men | Comfortable Walking Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/6162tcYP6tL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Essential-Sneakers-Sneakers/dp/B0BT1GNJR4/ref=sr_1_75?qid=1679148621&s=shoes&sr=1-75,4.1,14,"?1,724","?6,899"
52,crocs Bayaband Clog UK M9W11,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71yJCuM95YL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-066/dp/B0BQHSQ3TS/ref=sr_1_76?qid=1679148621&s=shoes&sr=1-76,4.4,3,"?1,922","?4,495"
53,road runner Men's Sneaker Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41k24bB7jqL._AC_UL320_.jpg,https://www.amazon.in/road-runner-Mens-Sneaker-Shoes/dp/B093JXYDG1/ref=sr_1_77?qid=1679148621&s=shoes&sr=1-77,3.3,493,?499,?999
54,Power Mens Aero Knit Running Shoe,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81zeuaVS7EL._AC_UL320_.jpg,https://www.amazon.in/Power-Mens-Aero-Sports-Shoes/dp/B095X7ZZH4/ref=sr_1_78?qid=1679148621&s=shoes&sr=1-78,4.1,288,?748,"?1,699"
55,Skechers Mens Summits - Brisbane Casual Shoe,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/7138gB6X8NL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Black-Mens-Casual-Shoes-232057ID-BBK-SUMMITS-Brisbane-UK7/dp/B09XXQNVTR/ref=sr_1_79?qid=1679148621&s=shoes&sr=1-79,4.1,152,"?2,480","?4,299"
56,BATA mens Jazz Beige Sneaker - 10 UK (8598188),1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91yMrhgxGYL._AC_UL320_.jpg,https://www.amazon.in/BATA-Mens-Beige-Canvas-Sneakers/dp/B00SWEFA1U/ref=sr_1_80?qid=1679148621&s=shoes&sr=1-80,3.5,123,?344,?499
57,"SlickFix Shoe Bite Protector Pads - Self-adhesive skin friendly foam tape, suitable for insole, heels, sneakers, stiletto...",1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zqkHjttGL._AC_UL320_.jpg,https://www.amazon.in/SlickFix-Shoe-Bite-Protector-Pads/dp/B0BFJ1Y4N3/ref=sr_1_81?qid=1679148621&s=shoes&sr=1-81,3.6,62,?299,?400
58,Hush Puppies Mens Hp02 Flex Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61diQRKNoVL._AC_UL320_.jpg,https://www.amazon.in/Hush-Puppies-Leather-Loafer-8556504/dp/B09NHSK5WR/ref=sr_1_82_mod_primary_new?qid=1679148621&s=shoes&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-82,3.4,160,"?3,118","?3,299"
59,Centrino Mens 3322 Sneakers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71u78BeE5TL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Mens-Brown-Sneakers-10-3322-02/dp/B07QS8ZR41/ref=sr_1_83?qid=1679148621&s=shoes&sr=1-83,3.7,"8,479",?699,"?2,199"
60,BATA Mens Denim Casual Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71sQ3zDntBS._AC_UL320_.jpg,https://www.amazon.in/BATA-Denim-Black-Sneaker-8-8596285/dp/B0936Z9YHH/ref=sr_1_84?qid=1679148621&s=shoes&sr=1-84,4,"1,984",?482,?746
61,Sneaker Cleaning Wipes I Pack of 20 I Suitable for Sneakers Sports and Smooth Leather Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51mIOEGdC1L._AC_UL320_.jpg,https://www.amazon.in/Sneaker-Cleaning-Suitable-Sneakers-Leather/dp/B0B4B5Z55V/ref=sr_1_85?qid=1679148621&s=shoes&sr=1-85,3.3,20,,?299
62,"crocs unisex-child Bayaband Clog K SLATE GREY/LIME PUNCH Clog - 2.5-3 Years, 7 Kids UK, 14 cms (C7) (207018-0GX)",1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71-IRy6dV0L._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-207018-0GX/dp/B09772YV2J/ref=sr_1_86?qid=1679148621&s=shoes&sr=1-86,2.7,104,"?1,372","?2,495"
63,Campus Men's Dragon Running Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61tMsaPtv9L._AC_UL320_.jpg,https://www.amazon.in/Campus-Dragon-Mens-Running-Shoes/dp/B07SSXY3T7/ref=sr_1_87?qid=1679148621&s=shoes&sr=1-87,3.8,"2,983","?1,599","?2,499"
64,crocs Unisex Crocband Clogs and Mules,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61g5Zco3BKL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Crocband-Microchip-11016-1FH/dp/B09X5X6X1Q/ref=sr_1_88?qid=1679148621&s=shoes&sr=1-88,4.2,"157,476","?2,271","?3,495"
65,Skechers Mens D'lux Walker - Pensive Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/613sWqlDjjL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Walker-Pensive-Walking-Color/dp/B08655KYYR/ref=sr_1_89?qid=1679148621&s=shoes&sr=1-89,4.1,"2,122","?3,372","?5,999"
66,Woodland Men's Gb 1207112nw Ankle Boot,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81M9hTRwYrL._AC_UL320_.jpg,https://www.amazon.in/Woodland-DNAVY-Boot-10-GB-1207112NW/dp/B0BR5QBJ88/ref=sr_1_90?qid=1679148621&s=shoes&sr=1-90,3,34,"?2,217","?4,295"
67,Sparx Mens Sc0671G Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71bZBdV8sdL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Mens-Black-Sneaker-SC0671G/dp/B09FGF6ML7/ref=sr_1_91?qid=1679148621&s=shoes&sr=1-91,3.9,753,?930,"?1,099"
68,Power Mens Engage 100 M Casual Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-Vx7tOg2L._AC_UL320_.jpg,https://www.amazon.in/Power-Mens-Sneaker-Grey-UK/dp/B09V2Y5H4S/ref=sr_1_92?qid=1679148621&s=shoes&sr=1-92,4.3,59,"?1,320","?2,999"
69,layasa Men's Sneakers Walking Shoe,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41k13ickL3L._AC_UL320_.jpg,https://www.amazon.in/layasa-Sneakers-Walking-White-Numeric_9/dp/B0BNYBMPX1/ref=sr_1_95?qid=1679148621&s=shoes&sr=1-95,2,1,?399,?999
70,U.S Polo assn. Mens Monton 4.0 Sneakers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61stFoIxKFL._AC_UL320_.jpg,https://www.amazon.in/U-S-Polo-assn-Sneakers-2FD22576N01/dp/B0B5LMRW1C/ref=sr_1_96?qid=1679148621&s=shoes&sr=1-96,4,236,"?1,499","?2,999"
71,Prolific Men's Casual Light Weight Knitted Loafers,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61M+NPGXJ3L._AC_UL320_.jpg,https://www.amazon.in/Prolific-Mens-Airy-Mesh-Loafers/dp/B09ZVN2NZC/ref=sr_1_97?qid=1679148621&s=shoes&sr=1-97,3.8,224,?748,"?4,490"
72,Eego Italy? Genuine Leather Light Weight Men's Steel Toe Safety Boots with Anti Skid Sole Black,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/716uGF2V9qL._AC_UL320_.jpg,https://www.amazon.in/Eego-Italy%C2%AE-Genuine-Leather-Weight/dp/B07K1JXSTJ/ref=sr_1_98?qid=1679148621&s=shoes&sr=1-98,3.8,"2,272",,?999
73,US Polo Association Men Mens Harvey 4.0 Mule,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61HnR-8ajQL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-Men-2FD22080W01/dp/B09SJ11XMP/ref=sr_1_99?qid=1679148621&s=shoes&sr=1-99,4,80,?672,"?1,599"
74,BATA Mens Trek Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61eEE4Jd9hL._AC_UL320_.jpg,https://www.amazon.in/BATA-Mens-Trek-Grey-Sneaker/dp/B0B6GC6K2P/ref=sr_1_100?qid=1679148621&s=shoes&sr=1-100,4.2,45,?471,?799
75,road runner Comfortable Stylish Trendy Lightweight Casual Sneaker Shoes for Boys & Mens,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51OPcfu8zeL._AC_UL320_.jpg,https://www.amazon.in/road-runner-Comfortable-Stylish-Lightweight/dp/B0BDRPYV7H/ref=sr_1_101?qid=1679148621&s=shoes&sr=1-101,3.1,124,?549,?999
76,BATA Mens Driver Sneaker,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zRflRqKBS._AC_UL320_.jpg,https://www.amazon.in/BATA-Driver-Brown-Sneaker-9-8523723/dp/B096BHTMWQ/ref=sr_1_102?qid=1679148621&s=shoes&sr=1-102,3.3,485,?413,?599
77,YSCROWD Men's Sneakers Casual White Shoes,1,7,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51cojQcmvnL._AC_UL320_.jpg,https://www.amazon.in/CROSS-FINGER-Sneakers-Casual-Numeric_8/dp/B09CLCWYJV/ref=sr_1_103?qid=1679148621&s=shoes&sr=1-103,3.1,"1,046",?489,?999
